Gene_Hugo_Symbol,Entrez_Gene_Id,is_common
C15orf60,283677,True
ESCO2,157570,True
PROK1,84432,True
TMEM206,55248,True
MSN,4478,True
PHC3,80012,True
NCS1,23413,True
RBM17,84991,True
TRIM24,8805,True
OST4,100128731,True
PRIM1,5557,True
NAPSA,9476,True
FAM150B,285016,True
FCGR1B,2209,True
ZNF724P,0,True
POLRMT,5442,True
C1orf106,55765,True
CBL,867,True
EIF2A,83939,True
SLC40A1,30061,True
AIM1L,55057,True
SLC25A46,91137,True
RAB31,11031,True
ADM,133,True
VPS8,23355,True
SLC51A,200931,True
DEPDC1,55635,True
SMKR1,100287482,True
ALG1L,200810,True
MGLL,11343,True
C4orf19,55286,True
ZNF174,7727,True
UCK2,7371,True
FAM83D,81610,True
NCLN,56926,True
FDX1,2230,True
C10orf68,0,True
LRRC14,9684,True
ZNF433,163059,True
TTYH2,94015,True
MS4A8,83661,True
CD68,968,True
MYO3B,140469,True
TMEM245,23731,True
LHX5,64211,True
COL4A5,1287,True
IGF2BP3,10643,True
STX5,6811,True
BZW2,28969,True
TNRC6C,57690,True
POLD1,5424,True
EPS15,2060,True
SMAD6,4091,True
CFL2,1073,True
KCNAB1,7881,True
GGTLC2,91227,True
MYLK3,91807,True
ZNF704,619279,True
GPSM1,26086,True
AC132186.1,0,True
SPATA31A6,389730,True
DSCAML1,57453,True
ZCWPW1,55063,True
SWAP70,23075,True
CHMP5,51510,True
UBE4B,10277,True
DHDH,27294,True
C20orf27,54976,True
GTF2A2,2958,True
RASSF3,283349,True
CRIM1,51232,True
C11orf96,387763,True
TRIM71,131405,True
ICAM4,3386,True
GABARAPL1,23710,True
SULT1A2,6799,True
ZNF622,90441,True
ADCK3,56997,True
PDZRN3,23024,True
GTF2F2,2963,True
ZNF259,8882,True
ABHD5,51099,True
TRMT5,57570,True
ZNF619,285267,True
ACO1,48,True
NUP88,4927,True
VIM,7431,True
IRAK3,11213,True
CRIPAK,285464,True
ZNF43,7594,True
ZIC5,85416,True
C7orf55-LUC7L2,51631,True
LRP5,4041,True
HMHA1,23526,True
LYG1,129530,True
RASGRP2,10235,True
SLC6A5,9152,True
SLC12A4,6560,True
VMO1,284013,True
NOL8,55035,True
SLC35A4,113829,True
RP11-480I12.4,0,True
EIF2S1,1965,True
ZMYND12,84217,True
MCM3,4172,True
DLL4,54567,True
ALG11,440138,True
AC027763.2,0,True
BARD1,580,True
TBX3,6926,True
TNK2,10188,True
BCL2L11,10018,True
EXTL1,2134,True
SMARCE1,6605,True
ZNF793,390927,True
SLC24A2,25769,True
LIPT1,51601,True
ZNF92,168374,True
CENPK,64105,True
SLC6A12,6539,True
CHN2,1124,True
P2RY13,53829,True
FXR1,8087,True
GYG2,8908,True
CCDC77,84318,True
GDF11,10220,True
RP11-345J4.5,0,True
AC004466.1,0,True
LEMD1,93273,True
MAN2B1,4125,True
KIAA1522,57648,True
GATA2,2624,True
ZNF365,22891,True
TOX,9760,True
SIX2,10736,True
DNAJC8,22826,True
APOH,350,True
FFAR4,338557,True
THEMIS2,9473,True
MED7,9443,True
FBXO7,25793,True
COX16,51241,True
C14orf28,122525,True
AC020922.1,0,True
CHPF,79586,True
NDUFAF6,137682,True
OPTN,10133,True
CLSTN1,22883,True
RBM12,10137,True
NRG4,145957,True
SLC6A6,6533,True
AK2,204,True
FRAT2,23401,True
POMGNT2,84892,True
NDRG2,57447,True
TUBB4A,10382,True
CNOT2,4848,True
SEC61A1,29927,True
ARPC4,10093,True
C11orf16,56673,True
UCHL3,7347,True
IQSEC2,23096,True
ATIC,471,True
MOV10,4343,True
C16orf13,84326,True
ATP5G3,518,True
NDST2,8509,True
GPR144,0,True
GPR156,165829,True
SLC16A4,9122,True
C2orf73,129852,True
GZMM,3004,True
JDP2,122953,True
SNRPN,6638,True
C6orf211,79624,True
ENTPD2,954,True
ZNF623,9831,True
GDF3,9573,True
CBX8,57332,True
HEXIM2,124790,True
QTRT1,81890,True
RMDN2,151393,True
PTCRA,171558,True
SAFB,6294,True
HCFC1,3054,True
REXO4,57109,True
APMAP,57136,True
RP11-155D18.14,0,True
NPW,283869,True
NR2F1,7025,True
AL603965.1,0,True
AC104667.3,0,True
PLRG1,5356,True
CACNB4,785,True
ERAP2,64167,True
NKIRAS2,28511,True
PLCD4,84812,True
MAP3K11,4296,True
OR6C70,390327,True
BZRAP1,9256,True
PRKRA,8575,True
PIGS,94005,True
TM4SF18,116441,True
ZNF567,163081,True
CD36,948,True
HMCN1,83872,True
TSPAN19,144448,True
MMP14,4323,True
FBF1,85302,True
SMPD3,55512,True
HIST1H4B,8294,True
KLRF1,51348,True
C1orf213,148898,True
FAM178A,55719,True
DOCK3,1795,True
PITX1,5307,True
DNMT3B,1789,True
C2orf43,60526,True
LRRC61,65999,True
RIPK1,8737,True
GPR111,222611,True
CTD-3105H18.14,0,True
FAM174A,345757,True
PSMD8,5714,True
CCDC66,285331,True
ANAPC5,51433,True
DMRT2,10655,True
PPT1,5538,True
SYCE2,256126,True
KCNK9,51305,True
GSTZ1,2954,True
PRDM5,11107,True
MTMR4,9110,True
